iterations,batch,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
60060,1,100,5326.75,100,5,5.637583893
60060,1,150,5318.35,150,5,8.469732154
60060,1,200,5280.44,200,5,11.37405216
60060,1,500,5302.78,500,5,28.31533648
60060,1,1000,5346.69,1000,5,56.1655903
60060,1,2000,5305.74,2000,5,113.198159
60060,1,5000,5302.74,5000,5,283.1555007
60060,1,10000,6000.3,10000,5,500.4749763
60060,1,20000,10094.9,20000,5,594.9538876
60060,1,30000,14122.05,30000,5,637.9385429
,,,,,Max,637.9385429